OrderID;Date;CustomerID;ProdNumber;Quantity
1;01/01/2020;1866;EB514;2
2;01/01/2020;1567;RS706;3
3;01/01/2020;2064;TV804;6
4;01/01/2020;287;DK203;1
5;01/01/2020;422;EB517;5
6;01/01/2020;954;EB519;5
7;02/01/2020;726;RK604;2
8;02/01/2020;1740;TV810;1
9;02/01/2020;1652;TV804;2
10;02/01/2020;1431;DS304;2
11;02/01/2020;270;RK604;2
12;02/01/2020;815;DK201;5
13;02/01/2020;157;EB508;3
14;02/01/2020;179;BP107;2
15;02/01/2020;832;RK605;2
16;03/01/2020;1465;DK205;3
17;03/01/2020;678;RS702;2
18;03/01/2020;1644;DS301;4
19;03/01/2020;806;TV804;3
20;04/01/2020;997;DK209;2
21;04/01/2020;1272;TV804;3
22;04/01/2020;832;DK205;4
23;04/01/2020;1313;DS302;3
24;04/01/2020;638;RS702;5
25;05/01/2020;292;EB516;5
26;05/01/2020;1865;TV802;2
27;05/01/2020;1766;EB519;5
28;05/01/2020;281;EB517;4
29;06/01/2020;889;EB511;5
30;06/01/2020;435;EB518;6
31;06/01/2020;811;TV809;1
32;06/01/2020;148;DK203;3
33;06/01/2020;157;RS706;3
34;06/01/2020;841;RK606;4
35;07/01/2020;814;EB504;5
36;07/01/2020;1930;DS306;5
37;07/01/2020;426;RK605;4
38;07/01/2020;1336;TV804;2
39;07/01/2020;1708;EB501;1
40;07/01/2020;43;DS306;4
41;07/01/2020;378;EB502;6
42;07/01/2020;856;TV802;3
43;07/01/2020;1613;BP105;5
44;08/01/2020;587;RK602;1
45;08/01/2020;794;TV809;4
46;08/01/2020;2104;EB509;6
47;08/01/2020;1166;RK604;4
48;09/01/2020;1083;RS707;6
49;09/01/2020;371;EB513;5
50;09/01/2020;11;EB504;1
51;09/01/2020;1551;EB518;3
52;09/01/2020;1542;RS707;5
53;10/01/2020;2001;RS705;2
54;10/01/2020;647;DS304;2
55;10/01/2020;288;TV812;2
56;11/01/2020;934;DK208;4
57;12/01/2020;1653;EB509;6
58;12/01/2020;46;EB514;4
59;12/01/2020;1340;BP107;6
60;12/01/2020;366;RK606;3
61;13/01/2020;1798;EB513;4
62;13/01/2020;133;EB508;4
63;13/01/2020;1101;EB514;1
64;13/01/2020;894;TV809;5
65;14/01/2020;628;TV805;5
66;14/01/2020;1878;BP110;3
67;14/01/2020;1123;EB505;2
68;14/01/2020;1214;EB518;4
69;14/01/2020;1162;DS307;6
70;14/01/2020;1944;BP108;3
71;15/01/2020;185;BP110;5
72;15/01/2020;1202;EB505;5
73;15/01/2020;700;EB514;3
74;16/01/2020;1773;DK202;2
75;16/01/2020;96;DK205;5
76;17/01/2020;1264;EB503;4
77;17/01/2020;606;RK605;3
78;17/01/2020;1285;EB517;6
79;18/01/2020;897;DK209;3
80;18/01/2020;522;BP109;2
81;18/01/2020;653;EB521;3
82;18/01/2020;1845;TV804;2
83;18/01/2020;1052;EB504;6
84;19/01/2020;1751;DK205;3
85;19/01/2020;772;RK603;5
86;19/01/2020;1626;DK207;5
87;20/01/2020;99;EB518;1
88;20/01/2020;209;EB521;3
89;20/01/2020;459;EB511;4
90;21/01/2020;430;EB504;2
91;21/01/2020;1614;EB502;2
92;21/01/2020;681;RK602;4
93;21/01/2020;1634;RS707;4
94;21/01/2020;1792;EB517;2
95;21/01/2020;865;RS707;5
96;21/01/2020;932;DS307;4
97;21/01/2020;719;DS301;3
98;21/01/2020;1830;DS303;5
99;21/01/2020;1524;EB518;3
100;21/01/2020;847;RS704;6
101;21/01/2020;1002;RK606;2
102;22/01/2020;1326;DS306;3
103;22/01/2020;1833;DK202;5
104;22/01/2020;1302;DS302;1
105;22/01/2020;1103;EB521;3
106;22/01/2020;1830;DS305;4
107;23/01/2020;2035;TV813;5
108;23/01/2020;260;TV803;2
109;23/01/2020;1824;EB512;3
110;23/01/2020;1737;RS703;5
111;23/01/2020;160;DS305;5
112;23/01/2020;551;EB504;4
113;23/01/2020;1589;BP101;4
114;23/01/2020;275;DK206;4
115;23/01/2020;1523;TV811;4
116;24/01/2020;20;TV808;3
117;24/01/2020;908;DS305;2
118;24/01/2020;2031;DS301;3
119;24/01/2020;1436;BP109;3
120;24/01/2020;1599;EB504;4
121;24/01/2020;303;RK607;5
122;24/01/2020;5;TV804;1
123;25/01/2020;1078;DS306;5
124;25/01/2020;1646;BP107;5
125;25/01/2020;831;TV806;3
126;25/01/2020;1111;TV804;4
127;26/01/2020;1886;DK208;4
128;26/01/2020;2013;DS305;5
129;26/01/2020;1848;EB507;3
130;27/01/2020;1533;EB509;1
131;27/01/2020;1591;RS705;3
132;27/01/2020;345;EB503;5
133;27/01/2020;256;BP102;1
134;27/01/2020;1031;EB509;5
